,Date,City,Country,Cloudiness,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
254,2021-06-02 12:39:18,salym,RU,19,64,60.0625,71.4789,278.01,1.37
255,2021-06-02 12:39:19,mayo,US,100,70,38.8876,-76.5119,301.89,0.45
256,2021-06-02 12:39:21,vardo,NO,0,55,70.3705,31.1107,290.26,1.03
257,2021-06-02 12:39:22,basqal,AZ,17,42,40.7552,48.391,293.44,4.25
258,2021-06-02 12:39:24,bubaque,GW,71,77,11.2833,-15.8333,299.66,6.75
259,2021-06-02 12:39:25,narsaq,GL,100,66,60.9167,-46.05,284.27,6.11
260,2021-06-02 12:39:27,los llanos de aridane,ES,75,87,28.6585,-17.9182,294.01,3.93
261,2021-06-02 12:39:29,kurya,RU,88,82,51.6003,82.2888,291.41,2.73
262,2021-06-02 12:38:56,port elizabeth,ZA,0,77,-33.918,25.5701,290.31,9.26
263,2021-06-02 12:39:31,mirabad,AF,0,8,30.4362,61.8383,310.81,3.23
264,2021-06-02 12:39:33,adrar,MR,44,13,20.5022,-10.0711,313.74,0.95
265,2021-06-02 12:39:34,sola,VU,94,80,-13.8833,167.55,299.41,10.79
266,2021-06-02 12:39:36,zyryanka,RU,79,45,65.75,150.85,285.5,1.77
267,2021-06-02 12:39:37,watertown,US,40,38,42.3709,-71.1828,302.33,0.89
268,2021-06-02 12:39:40,muriwai beach,NZ,100,95,-36.8167,174.45,286.91,3.87
269,2021-06-02 12:39:42,bull savanna,JM,15,63,17.8868,-77.5902,302.06,7.5
270,2021-06-02 12:39:43,jiaohe,CN,100,99,43.7286,127.3447,285.91,2.72
271,2021-06-02 12:39:44,villablino,ES,94,83,42.9393,-6.3194,292.7,1.9
272,2021-06-02 12:39:46,goderich,CA,72,30,43.7501,-81.7165,297.15,3.09
273,2021-06-02 12:39:48,san remo,IT,56,89,43.8182,7.7612,295.03,3.13
274,2021-06-02 12:39:49,rusera,IN,2,43,25.75,86.0333,306.0,2.27
275,2021-06-02 12:39:52,los zacatones,MX,99,38,22.95,-102.05,293.9,1.62
276,2021-06-02 12:39:53,soure,BR,3,73,-0.7167,-48.5233,301.88,4.79
277,2021-06-02 12:39:56,tashtagol,RU,83,93,52.7657,87.8894,286.13,1.45
278,2021-06-02 12:39:58,matay,EG,0,19,28.419,30.7792,303.06,8.94
279,2021-06-02 12:39:59,flinders,AU,97,82,-34.5833,150.8552,286.14,0.45
280,2021-06-02 12:40:02,tiznit,MA,40,44,29.5833,-9.5,295.45,3.55
281,2021-06-02 12:38:51,ulaanbaatar,MN,40,87,47.9077,106.8832,278.22,1.48
282,2021-06-02 12:40:24,katherine,AU,75,73,-14.4667,132.2667,295.33,2.8
283,2021-06-02 12:40:26,lahaina,US,20,66,20.8783,-156.6825,299.71,4.12
284,2021-06-02 12:40:27,caravelas,BR,48,67,-17.7125,-39.2481,299.21,3.34
285,2021-06-02 12:40:29,ribeira grande,PT,20,52,38.5167,-28.7,291.37,5.66
286,2021-06-02 12:40:32,okha,RU,69,96,53.5739,142.9478,278.46,2.93
287,2021-06-02 12:40:33,maningrida,AU,76,86,-12.0667,134.2667,294.64,3.46
288,2021-06-02 12:40:34,komsomolskiy,UZ,40,25,40.4272,71.7189,300.83,3.09
289,2021-06-02 12:40:36,camopi,GF,43,89,3.1655,-52.3158,300.65,1.5
290,2021-06-02 12:40:38,kungurtug,RU,62,51,50.5994,97.5228,281.34,1.05
291,2021-06-02 12:40:39,rio verde de mato grosso,BR,2,29,-18.9181,-54.8442,306.15,2.81
292,2021-06-02 12:40:41,sandnessjoen,NO,0,43,66.0217,12.6316,299.44,4.56
293,2021-06-02 12:40:42,olafsvik,IS,47,76,64.8945,-23.7142,280.68,4.99
294,2021-06-02 12:40:44,kidal,ML,0,6,18.4411,1.4078,313.47,2.54
295,2021-06-02 12:40:45,samarai,PG,100,84,-10.6167,150.6667,298.67,6.05
296,2021-06-02 12:40:47,nome,US,90,56,64.5011,-165.4064,277.68,3.6
297,2021-06-02 12:40:48,shwebo,MM,97,57,22.5667,95.7,304.25,3.38
298,2021-06-02 12:40:51,namatanai,PG,63,84,-3.6667,152.4333,298.72,1.81
299,2021-06-02 12:40:52,ambatofinandrahana,MG,7,95,-20.55,46.8,285.5,2.0
300,2021-06-02 12:40:54,anaconda,US,3,32,46.1285,-112.9423,298.13,0.4
